"疾病編號","疾病","題目編號","答案或待查","分數或空白","依據欄位","具名來源","理由"
"3","新型 A 型流感（H5N1／H7N9）","C4","待查","","動物族群致死率；畜禽生產衝擊","背景表待查線索，非本題已驗證證據：WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic；待查：本次未取得頁面發布日","兩項可比較門檻證據均未蒐集；不能填否。"
"3","新型 A 型流感（H5N1／H7N9）","C5","待查","","雙部門監測量能","待查入口，未據此判定量能：疾管署與農業部官方入口（僅供權責單位循核准流程補件） https://www.cdc.gov.tw/；https://www.moa.gov.tw/；不適用（本次不評核）","資料缺口（阻斷項）；本次不評核且不計分。"
"4","立百病毒感染症","C1","待查","","人類致死率（未治療）","背景表待查線索，非本題已驗證證據：WHO Nipah virus https://www.who.int/news-room/fact-sheets/detail/nipah-virus；2026-01-29","02 未蒐集符合題幹的未治療致死率；不填數值。"
"4","立百病毒感染症","C2","待查","","人傳人能力","背景表待查線索，非本題已驗證證據：WHO Nipah virus https://www.who.int/news-room/fact-sheets/detail/nipah-virus；2026-01-29","02 未蒐集人傳人能力；不得推測。"
"4","立百病毒感染症","C3","待查","","人用疫苗；動物疫苗；人用有效治療","背景表待查線索，非本題已驗證證據：WHO Nipah virus https://www.who.int/news-room/fact-sheets/detail/nipah-virus；2026-01-29","三項工具均未蒐集；不得推測。"
"4","立百病毒感染症","C4","待查","","動物族群致死率；畜禽生產衝擊","背景表待查線索，非本題已驗證證據：WHO Nipah virus https://www.who.int/news-room/fact-sheets/detail/nipah-virus；2026-01-29","兩項可比較門檻證據均未蒐集；不能填否。"
"4","立百病毒感染症","C5","待查","","雙部門監測量能","待查入口，未據此判定量能：疾管署與農業部官方入口（僅供權責單位循核准流程補件） https://www.cdc.gov.tw/；https://www.moa.gov.tw/；不適用（本次不評核）","資料缺口（阻斷項）；本次不評核且不計分。"
"5","中東呼吸症候群冠狀病毒感染症","C1","待查","","人類致死率（未治療）","背景表待查線索，非本題已驗證證據：WHO Middle East respiratory syndrome coronavirus (MERS-CoV) https://www.who.int/news-room/fact-sheets/detail/middle-east-respiratory-syndrome-coronavirus-(mers-cov)；2025-12-11","02 未蒐集符合題幹的未治療致死率；不以通報 CFR 代填。"
"5","中東呼吸症候群冠狀病毒感染症","C2","待查","","人傳人能力","背景表待查線索，非本題已驗證證據：WHO Middle East respiratory syndrome coronavirus (MERS-CoV) https://www.who.int/news-room/fact-sheets/detail/middle-east-respiratory-syndrome-coronavirus-(mers-cov)；2025-12-11","02 未蒐集人傳人能力；不得推測。"
"5","中東呼吸症候群冠狀病毒感染症","C3","待查","","人用疫苗；動物疫苗；人用有效治療","背景表待查線索，非本題已驗證證據：WHO Middle East respiratory syndrome coronavirus (MERS-CoV) https://www.who.int/news-room/fact-sheets/detail/middle-east-respiratory-syndrome-coronavirus-(mers-cov)；2025-12-11","三項工具均未蒐集；不得推測。"
"5","中東呼吸症候群冠狀病毒感染症","C4","待查","","動物族群致死率；畜禽生產衝擊","背景表待查線索，非本題已驗證證據：WHO Middle East respiratory syndrome coronavirus (MERS-CoV) https://www.who.int/news-room/fact-sheets/detail/middle-east-respiratory-syndrome-coronavirus-(mers-cov)；2025-12-11","兩項可比較門檻證據均未蒐集；不能填否。"
"5","中東呼吸症候群冠狀病毒感染症","C5","待查","","雙部門監測量能","待查入口，未據此判定量能：疾管署與農業部官方入口（僅供權責單位循核准流程補件） https://www.cdc.gov.tw/；https://www.moa.gov.tw/；不適用（本次不評核）","資料缺口（阻斷項）；本次不評核且不計分。"
"6","炭疽病","C1","待查","","人類致死率（未治療）","背景表待查線索，非本題已驗證證據：US CDC About Anthrax https://www.cdc.gov/anthrax/about/index.html；待查：本次未摘錄發布日","02 未蒐集符合題幹的未治療致死率；不填數值。"
"6","炭疽病","C2","待查","","人傳人能力","背景表待查線索，非本題已驗證證據：US CDC About Anthrax https://www.cdc.gov/anthrax/about/index.html；待查：本次未摘錄發布日","02 未蒐集人傳人能力；不得推測。"
"6","炭疽病","C3","待查","","人用疫苗；動物疫苗；人用有效治療","背景表待查線索，非本題已驗證證據：US CDC About Anthrax https://www.cdc.gov/anthrax/about/index.html；待查：本次未摘錄發布日","三項工具均未蒐集；不得推測。"
"6","炭疽病","C4","待查","","動物族群致死率；畜禽生產衝擊","背景表待查線索，非本題已驗證證據：US CDC About Anthrax https://www.cdc.gov/anthrax/about/index.html；待查：本次未摘錄發布日","兩項可比較門檻證據均未蒐集；不能填否。"
"6","炭疽病","C5","待查","","雙部門監測量能","待查入口，未據此判定量能：疾管署與農業部官方入口（僅供權責單位循核准流程補件） https://www.cdc.gov.tw/；https://www.moa.gov.tw/；不適用（本次不評核）","資料缺口（阻斷項）；本次不評核且不計分。"
"11","日本腦炎","C1","待查","","人類致死率（未治療）","WHO Japanese encephalitis https://www.who.int/news-room/fact-sheets/detail/japanese-encephalitis；2024-08-06","腦炎病例致死率可達 30%但非所有感染者，且未治療分母不明；不得代填。"
"11","日本腦炎","C2","待查","","人傳人能力","背景表待查線索，非本題已驗證證據：WHO Japanese encephalitis https://www.who.int/news-room/fact-sheets/detail/japanese-encephalitis；2024-08-06","02 未蒐集人傳人能力；不得推測。"
"11","日本腦炎","C3","待查","","人用疫苗；動物疫苗；人用有效治療","WHO Japanese encephalitis https://www.who.int/news-room/fact-sheets/detail/japanese-encephalitis；2024-08-06","已知人用疫苗可用，但動物疫苗與有效治療未知；不得填僅一項。"
"11","日本腦炎","C4","待查","","動物族群致死率；畜禽生產衝擊","背景表待查線索，非本題已驗證證據：WHO Japanese encephalitis https://www.who.int/news-room/fact-sheets/detail/japanese-encephalitis；2024-08-06","兩項可比較門檻證據均未蒐集；不能填否。"
"11","日本腦炎","C5","待查","","雙部門監測量能","待查入口，未據此判定量能：疾管署與農業部官方入口（僅供權責單位循核准流程補件） https://www.cdc.gov.tw/；https://www.moa.gov.tw/；不適用（本次不評核）","資料缺口（阻斷項）；本次不評核且不計分。"
"14","鉤端螺旋體病","C1","待查","","人類致死率（未治療）","US CDC Yellow Book: Leptospirosis https://www.cdc.gov/yellow-book/hcp/travel-associated-infections-diseases/leptospirosis.html；待查：本次未摘錄發布日","未治療致死率的分母未取得；不可用重症比例或重症 CFR 代填。"
"14","鉤端螺旋體病","C2","待查","","人傳人能力","US CDC About Leptospirosis https://www.cdc.gov/leptospirosis/about/index.html；待查：本次未摘錄發布日","來源稱通常不以人傳人傳播，但「通常」不足以在未定義特殊途徑範圍時填無人傳人。"
"14","鉤端螺旋體病","C3","待查","","人用疫苗；動物疫苗；人用有效治療","US CDC About Leptospirosis https://www.cdc.gov/leptospirosis/about/index.html；待查：本次未摘錄發布日","已知有抗生素治療，但兩類疫苗待查；不得填僅一項。"
"14","鉤端螺旋體病","C4","待查","","動物族群致死率；畜禽生產衝擊","US CDC About Leptospirosis https://www.cdc.gov/leptospirosis/about/index.html；待查：本次未摘錄發布日","動物多無症狀帶菌與生產損失待查，無門檻比例不能填否。"
"14","鉤端螺旋體病","C5","待查","","雙部門監測量能","待查入口，未據此判定量能：疾管署與農業部官方入口（僅供權責單位循核准流程補件） https://www.cdc.gov.tw/；https://www.moa.gov.tw/；不適用（本次不評核）","資料缺口（阻斷項）；本次不評核且不計分。"
"16","Q 熱","C1","待查","","人類致死率（未治療）","背景表待查線索，非本題已驗證證據：US CDC About Q fever https://www.cdc.gov/q-fever/about/index.html；待查：本次未摘錄發布日","02 未蒐集符合題幹的未治療致死率；不填數值。"
"16","Q 熱","C2","待查","","人傳人能力","背景表待查線索，非本題已驗證證據：US CDC About Q fever https://www.cdc.gov/q-fever/about/index.html；待查：本次未摘錄發布日","02 未蒐集人傳人能力；不得推測。"
"16","Q 熱","C3","待查","","人用疫苗；動物疫苗；人用有效治療","背景表待查線索，非本題已驗證證據：US CDC About Q fever https://www.cdc.gov/q-fever/about/index.html；待查：本次未摘錄發布日","三項工具均未蒐集；不得推測。"
"16","Q 熱","C4","待查","","動物族群致死率；畜禽生產衝擊","背景表待查線索，非本題已驗證證據：US CDC About Q fever https://www.cdc.gov/q-fever/about/index.html；待查：本次未摘錄發布日","兩項可比較門檻證據均未蒐集；不能填否。"
"16","Q 熱","C5","待查","","雙部門監測量能","待查入口，未據此判定量能：疾管署與農業部官方入口（僅供權責單位循核准流程補件） https://www.cdc.gov.tw/；https://www.moa.gov.tw/；不適用（本次不評核）","資料缺口（阻斷項）；本次不評核且不計分。"
"22","弓形蟲感染症","C1","待查","","人類致死率（未治療）","US CDC About Toxoplasmosis https://www.cdc.gov/toxoplasmosis/about/index.html；待查：本次未摘錄發布日","一般免疫正常者多無症狀；未治療致死率須按先天感染或免疫低下族群分開查。"
"22","弓形蟲感染症","C2","待查","","人傳人能力","US CDC About Toxoplasmosis https://www.cdc.gov/toxoplasmosis/about/index.html；待查：本次未摘錄發布日","一般不以人傳人傳播但可母胎、移植或輸血；是否計入本題範圍待人工決定。"
"22","弓形蟲感染症","C3","待查","","人用疫苗；動物疫苗；人用有效治療","US CDC About Toxoplasmosis https://www.cdc.gov/toxoplasmosis/about/index.html；待查：本次未摘錄發布日","已知無常規人用疫苗且有藥物治療，但動物疫苗待查；不能填僅一項或皆無。"
"22","弓形蟲感染症","C4","待查","","動物族群致死率；畜禽生產衝擊","US CDC About Toxoplasmosis https://www.cdc.gov/toxoplasmosis/about/index.html；待查：本次未摘錄發布日","中間宿主通常不明顯疾病，生產影響待查；無兩項可比較比例不能填否。"
"22","弓形蟲感染症","C5","待查","","雙部門監測量能","待查入口，未據此判定量能：疾管署與農業部官方入口（僅供權責單位循核准流程補件） https://www.cdc.gov.tw/；https://www.moa.gov.tw/；不適用（本次不評核）","資料缺口（阻斷項）；本次不評核且不計分。"
