"編號","中文名","英文名","人：法定分類","動：法定動物傳染病","WOAH","國內疫情","國際／大流行","嚴重度","傳播特性","疫苗／治療","來源","查證日","納入理由","待查項目"
"11","日本腦炎","Japanese encephalitis","待查：疾管署現行分類頁","是（乙類）","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","腦炎患者致死率最高30%；不是全感染者，也未明列未治療分母","蚊媒；與豬及水鳥的傳播循環相關","待查：依本列具名來源逐格補查","WHO Japanese encephalitis（資料日期：2024-08-06） https://www.who.int/news-room/fact-sheets/detail/japanese-encephalitis；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10","對應（8）傳播特性：蚊媒；與豬及水鳥的傳播循環相關；另對應（2）法定動物傳染病。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"12","牛結核病（M. bovis）","Bovine tuberculosis (M. bovis)","待查：疾管署現行分類頁","是（乙類）","待查","待查：防檢署及 NIDSS","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","人類人畜共通結核與動物牛結核需共同處理；具體傳播途徑待查","待查：依本列具名來源逐格補查","WHO Roadmap for zoonotic tuberculosis（資料日期：待查：本次未摘錄發布日） https://www.who.int/publications/i/item/9789241513043；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10","對應（8）傳播特性：人類人畜共通結核與動物牛結核需共同處理；具體傳播途徑待查；另對應（2）法定動物傳染病。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"13","急性病毒性 E 型肝炎","Acute hepatitis E","待查：疾管署現行分類頁","待查：分類表未列此名","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","基因型 3、4 有非人哺乳類與未熟肉品人畜共通途徑；不可泛化到主要感染人的 1、2 型","待查：依本列具名來源逐格補查","WHO Hepatitis E（資料日期：待查：本次未摘錄發布日） https://www.who.int/news-room/fact-sheets/detail/hepatitis-e","2026-09-10","對應（8）傳播特性：基因型 3、4 有非人哺乳類與未熟肉品人畜共通途徑；不可泛化到主要感染人的 1、2 型。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"14","鉤端螺旋體病","Leptospirosis","待查：疾管署現行分類頁","是（乙類）","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","感染動物尿液污染水或土壤造成暴露","待查：依本列具名來源逐格補查","US CDC About Leptospirosis（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/leptospirosis/about/index.html；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10","對應（8）傳播特性：感染動物尿液污染水或土壤造成暴露；另對應（2）法定動物傳染病。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"15","類鼻疽","Melioidosis","待查：疾管署現行分類頁","待查：分類表未列此名","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","污染土壤或水暴露；保留為課程既有候選的定義邊界，尚未確認符合人畜共通範圍","待查：依本列具名來源逐格補查","US CDC About Melioidosis（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/melioidosis/about/index.html","2026-09-10","對應（8）傳播特性：污染土壤或水暴露；保留為課程既有候選的定義邊界，尚未確認符合人畜共通範圍。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定；定義邊界由課堂工作小組討論，正式範圍由權責單位確認"
"16","Q 熱","Q fever","待查：疾管署現行分類頁","是（乙類）","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","感染動物及其生產過程相關暴露；動物外觀健康不能排除感染","待查：依本列具名來源逐格補查","US CDC About Q fever（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/q-fever/about/index.html；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10","對應（8）傳播特性：感染動物及其生產過程相關暴露；動物外觀健康不能排除感染；另對應（2）法定動物傳染病。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"17","布氏桿菌病","Brucellosis","待查：疾管署現行分類頁","是（乙類：牛／羊布氏桿菌病）","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","動物接觸、未經殺菌乳製品等暴露","待查：依本列具名來源逐格補查","WHO Brucellosis（資料日期：待查：本次未摘錄發布日） https://www.who.int/news-room/fact-sheets/detail/brucellosis；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10","對應（8）傳播特性：動物接觸、未經殺菌乳製品等暴露；另對應（2）法定動物傳染病。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"18","恙蟲病","Scrub typhus","待查：疾管署現行分類頁","待查：分類表未列此名","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","感染恙蟎叮咬；脊椎動物在循環中角色與本課定義適用性待查","待查：依本列具名來源逐格補查","US CDC About Scrub Typhus（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/typhus/about/scrub.html","2026-09-10","對應（8）傳播特性：感染恙蟎叮咬；脊椎動物在循環中角色與本課定義適用性待查。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定；定義邊界由課堂工作小組討論，正式範圍由權責單位確認"
"19","地方性斑疹傷寒","Murine typhus","待查：疾管署現行分類頁","待查：分類表未列此名","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","跳蚤由鼠、貓或負鼠等感染動物取得病原，再造成對人暴露","待查：依本列具名來源逐格補查","US CDC About Flea-borne Typhus（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/typhus/about/murine.html","2026-09-10","對應（8）傳播特性：跳蚤由鼠、貓或負鼠等感染動物取得病原，再造成對人暴露。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"20","發熱伴血小板減少綜合症","SFTS","待查：疾管署現行分類頁","待查：分類表未列此名","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","日本獸醫人員與病貓事件支持直接動物至人傳播；不代表臺灣病例或普遍傳播率","待查：依本列具名來源逐格補查","Direct Transmission of Severe Fever with Thrombocytopenia Syndrome Virus from Domestic Cat to Veterinary Personnel, Emerging Infectious Diseases（資料日期：2020-12） https://wwwnc.cdc.gov/eid/article/26/12/19-1513_article","2026-09-10","對應（8）傳播特性：日本獸醫人員與病貓事件支持直接動物至人傳播；不代表臺灣病例或普遍傳播率。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"21","萊姆病","Lyme disease","待查：疾管署現行分類頁","待查：分類表未列此名","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","感染黑腳蜱叮咬（美國來源）；我國宿主與病媒條件待查","待查：依本列具名來源逐格補查","US CDC About Lyme Disease（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/lyme/about/index.html","2026-09-10","對應（8）傳播特性：感染黑腳蜱叮咬（美國來源）；我國宿主與病媒條件待查。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
"22","弓形蟲感染症","Toxoplasmosis","待查：疾管署現行分類頁","待查：分類表未列此名","待查","待查：NIDSS 逐病查詢","待查：依本列具名來源逐格補查","待查：依本列具名來源逐格補查","未熟肉品及貓糞污染的食物或土壤可造成感染","待查：依本列具名來源逐格補查","US CDC About Toxoplasmosis（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/toxoplasmosis/about/index.html","2026-09-10","對應（8）傳播特性：未熟肉品及貓糞污染的食物或土壤可造成感染。候選理由，不代表排序。","人類分類查疾管署；動物分類有疑義查農業部；WOAH 查法典1.3；國內病例查NIDSS；其餘待查欄與來源發布日由學員／資料整理人員補查；課程演練，非機關核定"
