"編號","疾病","處置（保留／本輪不納入）","理由","依據欄位","來源","查證日","資料缺口","缺口補齊後可能怎麼變","課堂建議提案組別","正式審查結果（留空）","狀態註記"
"11","日本腦炎","待人工決定","01 的候選依據為：蚊媒；與豬及水鳥的傳播循環相關。02 有 5 列不帶缺口標記，可供課堂討論；例如「重症或長期失能比例」記載「腦炎病例的永久神經、認知與行為後遺症為 30–50%；不適用所有感染者。」。本表僅整理，去留待人工決定。","01：11／傳播特性；02：11／人類／重症或長期失能比例；02：11／人類／高風險／易感族群衝擊；02：11／動物／宿主範圍廣度；02：11／人類／人類年通報數／發生率（缺口）","WHO Japanese encephalitis（資料日期：2024-08-06） https://www.who.int/news-room/fact-sheets/detail/japanese-encephalitis；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 25 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、人類年通報數／發生率、人傳人能力、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、WOAH 通報疾病、國內動物疫情活躍度、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"12","牛結核病（M. bovis）","待人工決定","01 的候選依據為：人類人畜共通結核與動物牛結核需共同處理；具體傳播途徑待查。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：12／傳播特性；02：12／人類／人類年通報數／發生率（缺口）","WHO Roadmap for zoonotic tuberculosis（資料日期：待查：本次未摘錄發布日） https://www.who.int/publications/i/item/9789241513043；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"13","急性病毒性 E 型肝炎","待人工決定","01 的候選依據為：基因型 3、4 有非人哺乳類與未熟肉品人畜共通途徑；不可泛化到主要感染人的 1、2 型。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：13／傳播特性；02：13／人類／人類年通報數／發生率（缺口）","WHO Hepatitis E（資料日期：待查：本次未摘錄發布日） https://www.who.int/news-room/fact-sheets/detail/hepatitis-e","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"14","鉤端螺旋體病","待人工決定","01 的候選依據為：感染動物尿液污染水或土壤造成暴露。02 有 8 列不帶缺口標記，可供課堂討論；例如「重症或長期失能比例」記載「重症約占病例 5–10%，重症病死率約 5–15%；兩者分母不同。」。本表僅整理，去留待人工決定。","01：14／傳播特性；02：14／人類／重症或長期失能比例；02：14／人類／人傳人能力；02：14／人類／高風險／易感族群衝擊；02：14／人類／人類年通報數／發生率（缺口）","US CDC About Leptospirosis（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/leptospirosis/about/index.html；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 22 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、人類年通報數／發生率、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、實驗室診斷量能、雙部門監測量能、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"15","類鼻疽","待人工決定","01 的候選依據為：污染土壤或水暴露；保留為課程既有候選的定義邊界，尚未確認符合人畜共通範圍。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：15／傳播特性；02：15／人類／人類年通報數／發生率（缺口）","US CDC About Melioidosis（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/melioidosis/about/index.html","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"16","Q 熱","待人工決定","01 的候選依據為：感染動物及其生產過程相關暴露；動物外觀健康不能排除感染。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：16／傳播特性；02：16／人類／人類年通報數／發生率（缺口）","US CDC About Q fever（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/q-fever/about/index.html；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"17","布氏桿菌病","待人工決定","01 的候選依據為：動物接觸、未經殺菌乳製品等暴露。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：17／傳播特性；02：17／人類／人類年通報數／發生率（缺口）","WHO Brucellosis（資料日期：待查：本次未摘錄發布日） https://www.who.int/news-room/fact-sheets/detail/brucellosis；農業部《動物傳染病分類表》（修正日期 2012-02-10；由 Step1 subagent 核讀公開附件） https://law.moa.gov.tw/LawContent.aspx?id=GL000290","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"18","恙蟲病","待人工決定","01 的候選依據為：感染恙蟎叮咬；脊椎動物在循環中角色與本課定義適用性待查。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：18／傳播特性；02：18／人類／人類年通報數／發生率（缺口）","US CDC About Scrub Typhus（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/typhus/about/scrub.html","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"19","地方性斑疹傷寒","待人工決定","01 的候選依據為：跳蚤由鼠、貓或負鼠等感染動物取得病原，再造成對人暴露。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：19／傳播特性；02：19／人類／人類年通報數／發生率（缺口）","US CDC About Flea-borne Typhus（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/typhus/about/murine.html","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"20","發熱伴血小板減少綜合症","待人工決定","01 的候選依據為：日本獸醫人員與病貓事件支持直接動物至人傳播；不代表臺灣病例或普遍傳播率。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：20／傳播特性；02：20／人類／人類年通報數／發生率（缺口）","Direct Transmission of Severe Fever with Thrombocytopenia Syndrome Virus from Domestic Cat to Veterinary Personnel, Emerging Infectious Diseases（資料日期：2020-12） https://wwwnc.cdc.gov/eid/article/26/12/19-1513_article","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"21","萊姆病","待人工決定","01 的候選依據為：感染黑腳蜱叮咬（美國來源）；我國宿主與病媒條件待查。02 本次仍全部帶有缺口標記；不將未蒐集當作不納入理由。本表僅整理，去留待人工決定。","01：21／傳播特性；02：21／人類／人類年通報數／發生率（缺口）","US CDC About Lyme Disease（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/lyme/about/index.html","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 30 列帶缺口標記（部分另有參考值）：人類致死率（未治療）、重症或長期失能比例、人類年通報數／發生率、人傳人能力、高風險／易感族群衝擊、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、宿主範圍廣度、WOAH 通報疾病、國內動物疫情活躍度、野生動物保毒宿主、病媒存在與氣候適生性、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、人用疫苗、動物疫苗、人用有效治療、實驗室診斷量能、雙部門監測量能、防治可行性（綜合）、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度、職業暴露風險。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
"22","弓形蟲感染症","待人工決定","01 的候選依據為：未熟肉品及貓糞污染的食物或土壤可造成感染。02 有 10 列不帶缺口標記，可供課堂討論；例如「人類致死率（未治療）」記載「一般免疫正常者多無症狀；未治療致死率需按先天感染或免疫低下等族群分開查。」。本表僅整理，去留待人工決定。","01：22／傳播特性；02：22／人類／人類致死率（未治療）；02：22／人類／人傳人能力；02：22／人類／高風險／易感族群衝擊；02：22／人類／人類年通報數／發生率（缺口）","US CDC About Toxoplasmosis（資料日期：待查：本次未摘錄發布日） https://www.cdc.gov/toxoplasmosis/about/index.html","2026-09-10（承接01／02核讀紀錄；本列同日整理）","02 有 20 列帶缺口標記（部分另有參考值）：重症或長期失能比例、人類年通報數／發生率、法定傳染病分類／通報層級、動物族群致死率、畜禽生產衝擊、WOAH 通報疾病、國內動物疫情活躍度、環境存活／持久性、氣候變遷敏感度、跨境／境外移入風險、食品鏈傳播關聯、抗微生物抗藥性關聯、食安事件頻率、動物疫苗、實驗室診斷量能、雙部門監測量能、跨部門協作現況、生物恐怖／管制病原、經濟總負擔、社會關注／媒體顯著度。不可將資料不足解讀為零；C5本次不計分。","由課堂小組在補齊可比較證據後重審，新增或變更候選需回第一步留版本；正式結果仍由權責單位確認。","待人工填寫","","課程示範、非機關核定；尚未送防檢署確認；AI 整理，未經人工確認"
