"疾病編號","疾病","層面","欄位","值","來源（文件名稱與網址）","資料日期","適用地區","來源差異或使用條件說明"
"2","鼠疫","人類","高風險／易感族群衝擊","接觸受感染動物、跳蚤或肺鼠疫病人的人員。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","人類","法定傳染病分類／通報層級","待查：依主管機關現行資料逐病核對。","疾管署／農業部現行法規與公告入口 https://www.cdc.gov.tw/；https://www.moa.gov.tw/","待查：須記錄實際查詢日","我國","本次未執行逐病互動查詢；待查不代表零。由疾病監測或動物衛生承辦人補，並記錄實際查詢日。"
"2","鼠疫","動物","動物族群致死率","易感動物死亡率依物種與疫情而異，待查。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","動物","畜禽生產衝擊","待查：畜禽生產衝擊與我國情境。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","動物","宿主範圍廣度","小型哺乳類與跳蚤相關；人是偶然宿主。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","動物","WOAH 通報疾病","待查：依 WOAH Terrestrial Animal Health Code 第 1.3 章逐病核對。","WOAH Terrestrial Animal Health Code https://www.woah.org/en/what-we-do/standards/codes-and-manuals/terrestrial-code-online-access/","待查：實際閱讀並核對日","全球","疾病專頁或舊網頁不等於現行 Listed disease；由動物衛生或 WOAH 聯絡窗口補核。"
"2","鼠疫","動物","國內動物疫情活躍度","待查：依主管機關現行資料逐病核對。","疾管署／農業部現行法規與公告入口 https://www.cdc.gov.tw/；https://www.moa.gov.tw/","待查：須記錄實際查詢日","我國","本次未執行逐病互動查詢；待查不代表零。由疾病監測或動物衛生承辦人補，並記錄實際查詢日。"
"2","鼠疫","動物","野生動物保毒宿主","野生囓齒類可維持循環；地區性差異待查。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","環境","病媒存在與氣候適生性","跳蚤媒介；肺鼠疫另有飛沫途徑。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","環境","環境存活／持久性","待查：病原在環境與屍體中的持久性。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","環境","氣候變遷敏感度","本次未蒐集：待查 氣候變遷敏感度 的可比較定義與資料。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"2","鼠疫","環境","跨境／境外移入風險","本次未蒐集：待查 跨境／境外移入風險 的可比較定義與資料。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"2","鼠疫","食安與抗藥性","食品鏈傳播關聯","本次未蒐集：待查 食品鏈傳播關聯 的可比較定義與資料。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"2","鼠疫","食安與抗藥性","抗微生物抗藥性關聯","本次未蒐集：待查 抗微生物抗藥性關聯 的可比較定義與資料。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"2","鼠疫","食安與抗藥性","食安事件頻率","本次未蒐集：待查 食安事件頻率 的可比較定義與資料。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"2","鼠疫","防治能力與資源","人用疫苗","人用疫苗的現行核准與是否容易取得待查。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","防治能力與資源","動物疫苗","待查：動物疫苗適用性。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","防治能力與資源","人用有效治療","及早使用抗生素可有效治療；時效與藥物選擇待依指引。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","防治能力與資源","實驗室診斷能力與資源","待查：我國檢驗能力與資源。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","防治能力與資源","兩部門監測能力與資源","待補資料（補齊前不計分）：本次不評核，不能由公開頁面推論兩部門整合能力與資源。","疾管署與農業部官方入口（僅供負責單位循核准流程補件） https://www.cdc.gov.tw/；https://www.moa.gov.tw/","不適用（本次不評核）","我國","2026-09-10 演練討論結果：本次工作坊不使用此欄評分；不宣稱所有能力與資源資料均非公開，只是不以零散公開資訊推定內部整合能力與資源。由疾管署與農業部負責人員依核准流程補。"
"2","鼠疫","防治能力與資源","防治可行性（綜合）","鼠蚤控制、暴露追蹤與及早抗生素治療可降低風險。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","防治能力與資源","跨部門合作現況","待查：本次未蒐集跨部門合作現況。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","社會安全","生物恐怖／管制病原","待查：依我國法規與管制清單核對。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","社會安全","經濟總負擔","待查：疾病負擔估計。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","社會安全","社會關注／媒體顯著度","待查：可重現媒體量測。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"2","鼠疫","社會安全","職業暴露風險","實驗室、野生動物處理與醫療照護人員可能暴露。","WHO Plague https://www.who.int/news-room/fact-sheets/detail/plague","2022-07-07","全球","已於 2026-09-10 查證此列來源；僅採用頁面直接支持的疾病背景，不推定我國現況。"
"3","新型 A 型流感（H5N1／H7N9）","人類","人類致死率（未治療）","本次未蒐集：待查「人類致死率（未治療）」的疾病別證據。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整 22×30 結構；不可把待查改填 0 或推測值。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","人類","重症或長期失能比例","本次未蒐集：待查「重症或長期失能比例」的疾病別證據。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整 22×30 結構；不可把待查改填 0 或推測值。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","人類","人類年通報數／發生率","待查：NIDSS 逐病互動查詢，由疾病監測承辦人補。","疾管署 NIDSS 傳染病統計資料查詢系統 https://nidss.cdc.gov.tw/","待查：須記錄實際查詢日","我國","本次未執行逐病互動查詢；待查不代表零。由疾病監測或動物衛生承辦人補，並記錄實際查詢日。"
"3","新型 A 型流感（H5N1／H7N9）","人類","人傳人能力","本次未蒐集：待查「人傳人能力」的疾病別證據。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整 22×30 結構；不可把待查改填 0 或推測值。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","人類","高風險／易感族群衝擊","本次未蒐集：待查「高風險／易感族群衝擊」的疾病別證據。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整 22×30 結構；不可把待查改填 0 或推測值。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","人類","法定傳染病分類／通報層級","待查：依主管機關現行資料逐病核對。","疾管署／農業部現行法規與公告入口 https://www.cdc.gov.tw/；https://www.moa.gov.tw/","待查：須記錄實際查詢日","我國","本次未執行逐病互動查詢；待查不代表零。由疾病監測或動物衛生承辦人補，並記錄實際查詢日。"
"3","新型 A 型流感（H5N1／H7N9）","動物","動物族群致死率","本次未蒐集：待查「動物族群致死率」的疾病別證據。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整 22×30 結構；不可把待查改填 0 或推測值。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","動物","畜禽生產衝擊","本次未蒐集：待查「畜禽生產衝擊」的疾病別證據。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整 22×30 結構；不可把待查改填 0 或推測值。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","動物","宿主範圍廣度","本次未蒐集：待查「宿主範圍廣度」的疾病別證據。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整 22×30 結構；不可把待查改填 0 或推測值。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","動物","WOAH 通報疾病","待查：依 WOAH Terrestrial Animal Health Code 第 1.3 章逐病核對。","WOAH Terrestrial Animal Health Code https://www.woah.org/en/what-we-do/standards/codes-and-manuals/terrestrial-code-online-access/","待查：實際閱讀並核對日","全球","疾病專頁或舊網頁不等於現行 Listed disease；由動物衛生或 WOAH 聯絡窗口補核。"
"3","新型 A 型流感（H5N1／H7N9）","動物","國內動物疫情活躍度","待查：依主管機關現行資料逐病核對。","疾管署／農業部現行法規與公告入口 https://www.cdc.gov.tw/；https://www.moa.gov.tw/","待查：須記錄實際查詢日","我國","本次未執行逐病互動查詢；待查不代表零。由疾病監測或動物衛生承辦人補，並記錄實際查詢日。"
"3","新型 A 型流感（H5N1／H7N9）","動物","野生動物保毒宿主","本次未蒐集：待查「野生動物保毒宿主」的疾病別證據。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整 22×30 結構；不可把待查改填 0 或推測值。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","環境","病媒存在與氣候適生性","本次未蒐集：待查「病媒存在與氣候適生性」的疾病別證據。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整 22×30 結構；不可把待查改填 0 或推測值。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","環境","環境存活／持久性","本次未蒐集：待查「環境存活／持久性」的疾病別證據。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整 22×30 結構；不可把待查改填 0 或推測值。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","環境","氣候變遷敏感度","本次未蒐集：待查 氣候變遷敏感度 的可比較定義與資料。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","環境","跨境／境外移入風險","本次未蒐集：待查 跨境／境外移入風險 的可比較定義與資料。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","食安與抗藥性","食品鏈傳播關聯","本次未蒐集：待查 食品鏈傳播關聯 的可比較定義與資料。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","食安與抗藥性","抗微生物抗藥性關聯","本次未蒐集：待查 抗微生物抗藥性關聯 的可比較定義與資料。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","食安與抗藥性","食安事件頻率","本次未蒐集：待查 食安事件頻率 的可比較定義與資料。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整欄位；此格尚未作疾病別查證。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","防治能力與資源","人用疫苗","本次未蒐集：待查「人用疫苗」的疾病別證據。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整 22×30 結構；不可把待查改填 0 或推測值。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","防治能力與資源","動物疫苗","本次未蒐集：待查「動物疫苗」的疾病別證據。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整 22×30 結構；不可把待查改填 0 或推測值。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","防治能力與資源","人用有效治療","本次未蒐集：待查「人用有效治療」的疾病別證據。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整 22×30 結構；不可把待查改填 0 或推測值。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","防治能力與資源","實驗室診斷能力與資源","本次未蒐集：待查「實驗室診斷能力與資源」的疾病別證據。","WHO Avian and other zoonotic influenza https://www.who.int/health-topics/influenza-avian-and-other-zoonotic","待查：本次未取得頁面發布日","待查：依來源實際適用區域標示","時間有限的練習保留完整 22×30 結構；不可把待查改填 0 或推測值。由資料整理人員補查並記錄實際閱讀並核對日。"
"3","新型 A 型流感（H5N1／H7N9）","防治能力與資源","兩部門監測能力與資源","待補資料（補齊前不計分）：本次不評核，不能由公開頁面推論兩部門整合能力與資源。","疾管署與農業部官方入口（僅供負責單位循核准流程補件） https://www.cdc.gov.tw/；https://www.moa.gov.tw/","不適用（本次不評核）","我國","2026-09-10 演練討論結果：本次工作坊不使用此欄評分；不宣稱所有能力與資源資料均非公開，只是不以零散公開資訊推定內部整合能力與資源。由疾管署與農業部負責人員依核准流程補。"
